file_name,category,context,constraint,caption_0,explanation_0,question_0,answer_0,caption_1,explanation_1,question_1,answer_1,caption_2,explanation_2,question_2,answer_2,caption_3,explanation_3,question_3,answer_3,caption_4,explanation_4,question_4,answer_4
a-f-8-6,Fable,Monkey tries to catch the moon,,,,,,,,,,,,,,,,,,,,,
a-f-8-7,Fable,Monkey tries to catch the moon,,,,,,,,,,,,,,,,,,,,,
a-t-8-1.png,Fable,Monkey tries to catch the moon,"{""animal"":""monkey"",""object"":""moon"",""action"":""catch""}","The moon has a reflection in the water, and a monkey is trying to catch the moon in the water with both hands.",,What can be seen in the water?,The moon has a reflection in the water,A monkey saw the reflection of the moon by the lake at night and wanted to use his hand to pick it up.,,What is the monkey doing?,A monkey is trying to catch the moon in the water with both hands,A monkey is reaching for the reflection of the moon in the water.,,Who saw the reflection of the moon by the lake at night?,A monkey,"The moon casts its reflection onto the serene waters, while a mischievous monkey endeavors to grasp the lunar image with both paws.",,What did the monkey see by the lake at night?,Reflection of the moon,"A monkey is attempting to seize the moon's reflection in the water using both hands, as the moon casts its image upon the water's surface.",,When did the monkey see the reflection of the moon by the lake?,Night
a-t-8-2.webp,Fable,Monkey tries to catch the moon,"{""animal"":""monkey"",""object"":""moon"",""action"":""catch""}","In the forest at night, there is a monkey touching the water with its fingers, and there is a reflection of the moon in the water.",,What is happening with the monkey in the forest at night?,monkey touching the water with its fingers,"A monkey is by the lake at night, looking at the clear reflection of the moon in the lake, and wants to use his hand to fish it out.",,What is visible in the water in the forest at night?,reflection of the moon in the water,"A monkey is reaching for the moon's reflection in the water, creating a playful scene in the night-time forest.",,What is by the lake at night?,A monkey,"A monkey in the forest touches the water at night, fascinated by the moon's reflection.",,When does the scene take place?,At night,"During the night in the forest, a monkey gently strokes the water's surface, revealing the moon's reflection shimmering within.",,What is the monkey looking at in the lake?,The clear reflection of the moon
a-t-8-3.webp,Fable,Monkey tries to catch the moon,"{""animal"":""monkey"",""object"":""moon"",""action"":""catch""}","On the bank of a river, there is a small stream reflecting the moon in the sky. On the bank, a little monkey is about to reach its hand into the water.",,What is on the bank of the river?,a small stream reflecting the moon in the sky,"A monkey is by the river at night, watching the reflection of the moon in the river and trying to pick it up with his hand.",,Who is about to reach its hand into the water?,a little monkey,"A monkey reaches out to touch the moon's reflection in the water, surrounded by a serene night scene with stars and lush vegetation.",,What is by the river at night?,Monkey,"Monkey reaches for moon's reflection in still water, amidst starlit night and verdant forest.",,What is the monkey watching in the river?,Reflection of the moon,"At night, a monkey stands beside the river, observing the moon's reflection and reaching out to lift it from the water with its hand.",,What time of day is it in the caption?,Night
a-t-8-4.webp,Fable,Monkey tries to catch the moon,"{""animal"":""monkey"",""object"":""moon"",""action"":""catch""}","A monkey jumps into the river, attempting to grasp the reflection of the moon in the water, causing ripples to spread across the surface.",,What action does the monkey take?,A monkey jumps into the river,"A monkey stands by the water, trying to use its hands to pick up the reflection of the moon in the water.",,What is the monkey attempting to do?,attempting to grasp the reflection of the moon in the water,"A monkey plays in the water under a bright full moon, with its reflection visible in the rippling surface.",,What is the consequence of the monkey's action?,causing ripples to spread across the surface,"Monkey leaps into river, disturbing the moon's reflection with ripples, to capture the elusive image.",,What is standing by the water?,A monkey,"A monkey frolics in the water beneath a luminous full moon, its reflection dancing on the rippling water's surface.",,What is the monkey doing?,trying to use its hands to pick up the reflection of the moon in the water
a-t-8-5.webp,Fable,Monkey tries to catch the moon,"{""animal"":""monkey"",""object"":""moon"",""action"":""catch""}","In the night sky, there is a moon whose reflection is cast in a small stream in the forest. A monkey stands in the stream, trying to grab the moon on the water's surface.",,Where is the moon located?,In the night sky,A monkey is soaking in water and wants to use its hands to pick up the reflection of the moon in the water.,,What is happening to the moon's reflection?,whose reflection is cast in a small stream in the forest,A monkey is playfully reaching towards the moon's reflection in the water under a bright full moon.,,Who is in the stream?,A monkey stands in the stream,"Moonlight glimmers on forest stream, as a monkey ventures in, attempting to grasp the moon's fleeting reflection on the water's surface.",,What is the monkey trying to do?,trying to grab the moon on the water's surface,"The moonlight twinkles on a forest stream while a monkey steps in, striving to capture the fleeting reflection of the moon on the water's surface.",,What creature is soaking in water?,A monkey
a-t-8-6,Fable,Monkey tries to catch the moon,"{""animal"":""monkey"",""object"":""moon"",""action"":""catch""}",,,,,,,,,,,,,,,,,,,,
a-t-8-7,Fable,Monkey tries to catch the moon,"{""animal"":""monkey"",""object"":""moon"",""action"":""catch""}",,,,,,,,,,,,,,,,,,,,
a-f-9-1,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-9-2,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-9-3,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-9-4,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-9-5,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-9-6,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-9-7,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-9-1,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-9-2,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-9-3,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-9-4,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-9-5,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-9-6,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-9-7,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-10-1,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-10-2,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-10-3,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-10-4,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-10-5,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-10-6,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-10-7,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-10-1,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-10-2,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-10-3,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-10-4,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-10-5,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-10-6,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-10-7,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-11-1,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-11-2,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-11-3,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-11-4,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-11-5,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-11-6,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-11-7,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-11-1,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-11-2,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-11-3,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-11-4,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-11-5,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-11-6,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-11-7,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-12-1,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-12-2,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-12-3,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-12-4,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-12-5,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-12-6,Fable,,,,,,,,,,,,,,,,,,,,,,
a-f-12-7,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-12-1,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-12-2,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-12-3,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-12-4,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-12-5,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-12-6,Fable,,,,,,,,,,,,,,,,,,,,,,
a-t-12-7,Fable,,,,,,,,,,,,,,,,,,,,,,
b-f-1-1.webp,Fairytale,Little Red Riding Hood,"{""Character"":""little girl"",""The color of the hat"":""red"",""Animal"":""little white rabbit""}",A little girl wearing a red hat encountered a little white rabbit in the forest.,"This image does not match the story of Little Red Riding Hood, because in the original story, Little Red Riding Hood encounters a big grey wolf in the forest, not a little white rabbit.",Who encountered a little white rabbit in the forest?,A little girl,A little girl wearing a red hat met a little white rabbit in the forest.,"This picture does not match the story of Little Red Riding Hood. In the original story, a little girl wore a red hat and met a big bad wolf in the forest. Although the little girl in this picture wore a red hat, which is consistent with the original work, she met a little rabbit in the forest, not a big bad wolf.",What is the little girl wearing?,wearing a red hat,A young girl donning a red cap stumbled upon a small white rabbit in the woods.,"This illustration departs from the classic tale of Little Red Riding Hood, as it shows a little white rabbit instead of the expected big grey wolf in the forest.",What did the little girl encounter in the forest?,a little white rabbit,A little girl in a red hat stumbles upon a little white rabbit in the enchanting forest.,"The image does not align with the original story of Little Red Riding Hood, as it depicts a little white rabbit instead of the big grey wolf she encounters in the forest.",Where did the little girl encounter the little white rabbit?,in the forest,A young girl donning a crimson cap encountered a small white bunny in the woods.,"The image does not match the story of Little Red Riding Hood, as Little Red Riding Hood meets a big grey wolf in the forest in the original tale, not a little white rabbit.",Who met a little white rabbit in the forest?,a little girl
b-f-1-2.webp,Fairytale,Little Red Riding Hood,"{""Character"":""little girl"",""The color of the hat"":""blue"",""Animal"":""little white rabbit""}",A little girl wearing a blue hat discovered a little white rabbit in the forest.,"This image does not correspond with the story of ""Little Red Riding Hood"" because in the original story, the little girl wears a red hat, whereas in the image, the little girl's hat is blue. Additionally, in the original tale, the little girl encounters a big grey wolf in the forest, but in this image, she encounters a rabbit instead.",Who discovered a little white rabbit in the forest?,A little girl,A little girl wearing a blue hat met a little white rabbit in the forest.,"This picture does not match the story of Little Red Riding Hood. In the original story, a little girl was wearing a red hat and met a big bad wolf in the forest. The little girl in this picture is wearing a blue hat, which does not match the original work. Moreover, she met a little rabbit in the forest, not a big bad wolf.",What was the little girl wearing?,blue hat,A young girl with a blue cap found a small white rabbit in the forest.,"The depiction here diverges from the original story of ""Little Red Riding Hood,"" as the little girl's hat is blue, not red, and she encounters a rabbit instead of the big grey wolf.",What did the little girl do?,discovered a little white rabbit in the forest,A little girl adorned in a blue hat makes a delightful discovery - a little white rabbit in the heart of the woods.,"The image does not correspond with the original tale of Little Red Riding Hood, since the girl in the story wears a red hat, not a blue one, and she meets a big grey wolf, not a rabbit.",Who met a little white rabbit in the forest?,A little girl wearing a blue hat,A young girl in a navy blue cap found a small white bunny in the woods.,"The image does not correspond with the story of ""Little Red Riding Hood,"" because in the original story, the little girl wears a red hat, while in the image, her hat is blue. Also, the original tale features a big grey wolf in the forest, but the image shows a rabbit instead.",Who did the little girl wearing a blue hat meet in the forest?,A little white rabbit
b-f-1-3.webp,Fairytale,Little Red Riding Hood,"{""Character"":""little girl"",""The color of the hat"":""red"",""Animal"":""fox""}",A girl wearing a red cloak and red hat encountered a fox in the woods.,"This image does not correspond to the story of Little Red Riding Hood, because in the original story, Little Red Riding Hood encounters a big grey wolf in the forest, not a fox.",Who encountered a fox in the woods?,A girl,A little girl wearing a red cloak and a red hat is quietly watching a little fox in the forest.,"This picture does not match the story of Little Red Riding Hood. In the original story, a little girl was wearing a red hat and met a big bad wolf in the forest. The little girl in this picture is wearing a red dress and a red hat, which is consistent with the original work, but she met a little fox in the forest, not a big bad wolf.",What was the girl wearing?,wearing a red cloak and red hat,A girl in a red cloak and hat met a fox in the forest.,"This image deviates from the original story of Little Red Riding Hood, as it features a fox instead of the big grey wolf in the forest.",What happened when the girl was in the woods?,encountered a fox,"A girl, clad in a red cloak and hat, chances upon a fox in the mystical woods.","The image does not match the original story of Little Red Riding Hood, as it shows a fox instead of the big grey wolf she encounters in the forest.",Where did the girl encounter a fox?,in the woods,A lass in a scarlet cloak and cap met a fox in the forest.,"The image does not correspond to the story of Little Red Riding Hood, because the original tale involves Little Red Riding Hood meeting a big grey wolf in the forest, not a fox.",Who is quietly watching a little fox in the forest?,A little girl wearing a red cloak and a red hat
b-f-1-4.webp,Fairytale,Little Red Riding Hood,"{""Character"":""old lady"",""The color of the hat"":""red"",""Animal"":""squirrel""}",A grandmother wearing a red hat was surprised to discover a little squirrel in the woods.,"This image does not align with the story of Little Red Riding Hood, because in the original tale, Little Red Riding Hood is a young girl, not an old grandmother, and the animal that appears is a big grey wolf, not a squirrel.",Who was surprised to discover a little squirrel in the woods?,A grandmother wearing a red hat,An old woman wearing a red hat saw a small squirrel in the forest.,"This picture does not match the story of Little Red Riding Hood. In the original story, a little girl wore a red hat and met a big bad wolf in the forest. The picture shows an old lady wearing a red hat, not the little girl, and she met a little squirrel instead of a big bad wolf.",What did a grandmother wearing a red hat do?,discovered a little squirrel in the woods,A grandmother in a red hat was astonished to find a little squirrel in the woods.,"The scene in this picture does not align with the story of Little Red Riding Hood, as it shows an old grandmother and a squirrel, not a young girl and a big grey wolf.",Who saw a small squirrel in the forest?,An old woman,"A grandmother, her red hat a beacon, is pleasantly surprised to find a little squirrel scampering in the woods.","The image does not align with the original story of Little Red Riding Hood, as it features an old grandmother and a squirrel, whereas the tale involves a young girl and a big grey wolf.",What was the old woman wearing?,wearing a red hat,An elderly woman in a scarlet cap was astonished to find a tiny squirrel in the forest.,"The image does not align with the story of Little Red Riding Hood, because the character is a young girl, not an old grandmother, and the animal is a big grey wolf, not a squirrel.",What did the old woman do?,saw a small squirrel in the forest
b-f-1-5.webp,Fairytale,Little Red Riding Hood,"{""Character"":""old lady"",""The color of the hat"":""yellow"",""Animal"":""tiger""}",A grandmother encountered a tiger in a sunlit forest. The grandmother was wearing a yellow hat and green clothes.,"This image does not match the story of Little Red Riding Hood, because the character in the original tale is a little girl wearing a red hood, not a grandmother wearing a yellow hat, and the animal that appears is a big grey wolf, not a tiger.",Who encountered a tiger in a sunlit forest?,A grandmother encountered a tiger in a sunlit forest.,An old woman wearing a yellow hat met a big tiger in the forest.,"This picture does not match the story of Little Red Riding Hood. In the original story, a little girl wore a red hat and met a big bad wolf in the forest. The picture shows an old lady instead of a little girl, and the old lady wore a yellow hat instead of a red one. She met a big tiger instead of a big bad wolf in the forest.",What was the grandmother wearing?,The grandmother was wearing a yellow hat and green clothes.,"A grandmother met a tiger in a sunlit forest, donning a yellow hat and green attire.","This artwork departs from the original tale of Little Red Riding Hood, as it depicts a grandmother wearing a yellow hat and a tiger, not a young girl in a red hood and a big grey wolf.",Who met a big tiger in the forest?,An old woman,"A grandmother, adorned in yellow and green hues, came face to face with a tiger in the brightly lit forest, her attire in stark contrast to the menacing presence.","The image does not match the original story of Little Red Riding Hood, as it shows a grandmother with a yellow hat and a tiger, whereas the tale features a little girl with a red hood and a big grey wolf.",What was the old woman wearing?,yellow hat,An elderly woman came across a tiger in a forest bathed in sunlight. She was wearing a saffron hat and attire of emerald.,"The image does not match the story of Little Red Riding Hood, because the character is a little girl with a red hood, not a grandmother with a yellow hat, and the animal is a big grey wolf, not a tiger.",Who did the old woman meet in the forest?,big tiger
b-f-1-6.webp,Fairytale,Little Red Riding Hood,"{""Character"":""old lady"",""The color of the hat"":""red"",""Animal"":""squirrel""}","A grandmother met a squirrel in the forest early in the morning, and she squatted down to pet the squirrel.","This image does not align with the story of Little Red Riding Hood, because the character in the original tale is a young girl, not a grandmother, and the animal that appears is a big grey wolf, not a squirrel.",Who met a squirrel in the forest early in the morning?,A grandmother,"An old woman, wearing a red hat, looked at a small squirrel in the forest.","This picture does not match the story of Little Red Riding Hood. In the original story, a little girl wore a red hat and met a big bad wolf in the forest. The picture shows an old lady wearing a red hat, not the little girl, and she met a little squirrel instead of a big bad wolf.",What did the grandmother encounter in the forest early in the morning?,squirrel,A grandmother encountered a squirrel in the forest at dawn and crouched to stroke it.,"The illustration here is inconsistent with the story of Little Red Riding Hood, as it shows an old grandmother and a squirrel, not a young girl and a big grey wolf.",When did the grandmother meet the squirrel in the forest?,early in the morning,"In the early morning mist, a grandmother encountered a squirrel in the forest and, with gentle hands, knelt down to caress the furry creature.","The image does not align with the original story of Little Red Riding Hood, as it depicts a grandmother and a squirrel, whereas the tale involves a young girl and a big grey wolf.",What did the grandmother do when she encountered the squirrel in the forest?,she squatted down to pet the squirrel,"An elderly woman encountered a squirrel in the forest at dawn, and she crouched to stroke the squirrel.","The image does not align with the story of Little Red Riding Hood, because the character is a young girl, not a grandmother, and the animal is a big grey wolf, not a squirrel.",Who looked at a small squirrel in the forest?,An old woman
b-f-1-7.webp,Fairytale,Little Red Riding Hood,"{""Character"":""little girl"",""The color of the hat"":""red"",""Animal"":""fox""}",A little girl wearing a red hat and a little fox are walking through the forest at night.,"This image does not match the story of Little Red Riding Hood, because the animal that appears in the original tale is a big grey wolf, not a fox.",Who is walking through the forest at night?,A little girl wearing a red hat,A little girl wearing a red hat is standing next to a fox in a forest.,"This picture does not match the story of Little Red Riding Hood. In the original story, a little girl was wearing a red hat and met a big bad wolf in the forest. The little girl in this picture is wearing a red dress and a red hat, which is consistent with the original work, but she met a little fox in the forest, not a big bad wolf.",Who is standing next to a fox in a forest?,A little girl wearing a red hat,A young girl in a red hat and a little fox are strolling through the forest at night.,"This image does not match the story of Little Red Riding Hood, as it features a fox instead of the big grey wolf.",What is standing next to a little girl wearing a red hat in a forest?,a fox,"A little girl, sporting a red hat, strolled through the forest at night, accompanied by a small fox, their shadows dancing along the path.","The image does not correspond with the original story of Little Red Riding Hood, as it shows a fox instead of the big grey wolf that appears in the tale.",Who is strolling through the forest at night?,A young girl in a red hat,A young girl in a crimson cap and a small fox are traversing the forest under the moonlight.,"The image does not match the story of Little Red Riding Hood, because the animal in the original tale is a big grey wolf, not a fox.",Who was sporting a red hat?,A little girl
b-f-1-8.webp,Fairytale,Little Red Riding Hood,"{""Character"":""little girl"",""The color of the hat"":""red"",""Animal"":""fox""}",Little Red Riding Hood encountered a little red fox in the forest at night.,"This image does not match the story of Little Red Riding Hood, because the animal that appears in the original tale is a big grey wolf, not a fox.",Who encountered a little red fox in the forest at night?,Little Red Riding Hood,A little girl wearing a red cloak and a red hat met a little fox in the forest.,"This picture does not match the story of Little Red Riding Hood. In the original story, a little girl was wearing a red hat and met a big bad wolf in the forest. The little girl in this picture is wearing a red dress and a red hat, which is consistent with the original work, but she met a little fox in the forest, not a big bad wolf.",What did Little Red Riding Hood do when she was in the forest at night?,encountered a little red fox,Little Red Riding Hood met a little red fox in the forest at night.,"This image does not match the story of Little Red Riding Hood, as it features a fox instead of the big grey wolf.",Where did Little Red Riding Hood encounter a little red fox at night?,in the forest,Little Red Riding Hood's fateful encounter with a little red fox in the forest at night added an element of mystery to her journey.,"The image does not match the original story of Little Red Riding Hood, as it features a fox instead of the big grey wolf.",When did Little Red Riding Hood encounter a little red fox in the forest?,at night,Little Red Riding Hood met a small red fox in the forest at night.,"The image does not match the story of Little Red Riding Hood, because the animal in the original tale is a big grey wolf, not a fox.",Who met a little fox in the forest?,A little girl
b-f-1-9.webp,Fairytale,Little Red Riding Hood,"{""Character"":""little girl"",""The color of the hat"":""yellow"",""Animal"":""fox""}",A little girl wearing a yellow hat encountered a cute little fox under the night sky in the forest.,"This image does not correspond with the story of ""Little Red Riding Hood"" because in the original story, the little girl wears a red hat, whereas in the image, the little girl's hat is yellow. Additionally, in the original tale, the little girl encounters a big grey wolf in the forest, but in this image, she encounters a fox instead.",Who encountered a cute little fox?,A little girl,A little girl wearing a yellow cloak and a yellow hat met a little fox in the forest.,"This picture does not match the story of Little Red Riding Hood. In the original story, a little girl was wearing a red hat and met a big bad wolf in the forest. The little girl in this picture is wearing a yellow hat, which does not match the original work, but she met a little fox in the forest, not a big bad wolf.",What was the little girl wearing?,wearing a yellow hat,A young girl in a yellow hat met a cute little fox under the night sky in the forest.,"The scene here differs from the story of ""Little Red Riding Hood,"" as the little girl's hat is yellow, not red, and she encounters a fox instead of the big grey wolf.",Where did the encounter between the girl and the fox take place?,under the night sky,"A little girl, her yellow hat glowing in the darkness, happened upon a charming little fox beneath the twinkling stars in the forest.","The image does not correspond with the original story of ""Little Red Riding Hood,"" as the girl in the story wears a red hat and encounters a big grey wolf, not a fox with a yellow hat.",Where was the little girl and the fox?,in the forest,A young girl in a canary cap met a charming little fox beneath the starry sky in the forest.,"The image does not correspond with the story of ""Little Red Riding Hood,"" because in the original story, the little girl wears a red hat, while in the image, her hat is yellow. Also, the original tale features a big grey wolf in the forest, but the image shows a fox instead.",Who met a little fox in the forest?,A little girl
b-f-1-10.webp,Fairytale,Little Red Riding Hood,"{""Character"":""old lady"",""The color of the hat"":""yellow"",""Animal"":""fox""}","A grandmother dressed entirely in yellow, carrying a basket, encountered a fox in the forest at night.","This image does not align with the story of Little Red Riding Hood, because the character in the original tale is a young girl wearing a red hood, not a grandmother wearing a yellow hat, and the animal that appears is a big grey wolf, not a fox.",Who encountered a fox in the forest at night?,A grandmother,An old woman wearing a yellow cloak and a yellow hat met a little fox in the forest.,"This picture does not match the story of Little Red Riding Hood. In the original story, a little girl was wearing a red hat and met a big bad wolf in the forest. The old lady in this picture is wearing green clothes and a green hat, which does not match the original story. Moreover, the encounter in the forest was with a little fox instead of a big bad wolf, which also does not match the story.",What color was the grandmother dressed in?,yellow,"A grandmother in yellow, carrying a basket, met a fox in the forest at night.","This picture does not correspond with the story of Little Red Riding Hood, as it shows a grandmother wearing a yellow hat and a fox, not a young girl in a red hood and a big grey wolf.",What was the grandmother doing while encountering the fox?,carrying a basket,"A grandmother, attired entirely in yellow and carrying a basket, unexpectedly met a fox in the forest under the cover of night","The image does not align with the original story of Little Red Riding Hood, as it shows a grandmother with a yellow hat and a fox, whereas the tale features a young girl with a red hood and a big grey wolf.",During what time did the grandmother encounter the fox?,night,"An elderly woman clad entirely in yellow, carrying a basket, met a fox in the forest at night.","The image does not align with the story of Little Red Riding Hood, because the character is a young girl with a red hood, not a grandmother with a yellow hat, and the animal is a big grey wolf, not a fox.",Who met a little fox in the forest?,An old woman
b-t-1-1.webp,Fairytale,Little Red Riding Hood,"{""Character"":""little girl"",""The color of the hat"":""red"",""Animal"":""big bad wolf""}",A little girl dressed all in red encountered a big grey wolf in the forest early in the morning.,,Who encountered a big grey wolf in the forest early in the morning?,A little girl,"A little girl, wearing a red hat and red clothes, met a big bad wolf in the forest.",,How was the little girl dressed when she encountered the big grey wolf?,dressed all in red,A girl in a red cloak is facing a wolf in a forest setting.,,What did the little girl encounter in the forest early in the morning?,a big grey wolf,"A little girl, dressed in vibrant red, encounters a formidable grey wolf in the forest's dawn.",,What character met the big bad wolf in the forest?,Girl,"In the early morning, a little girl clad entirely in red came across a large grey wolf in the forest.",,What was the little girl wearing when she encountered the big bad wolf?,Red hat and red clothes
b-t-1-2.webp,Fairytale,Little Red Riding Hood,"{""Character"":""little girl"",""The color of the hat"":""red"",""Animal"":""big bad wolf""}","In the forest at night, Little Red Riding Hood encountered a big grey wolf.",,Who encountered a big grey wolf?,Little Red Riding Hood,A little girl wearing a red cloak and a red hat met a big gray wolf in the forest.,,Who met a big grey wolf in the forest at night?,Little Red Riding Hood,"In a mystical forest, a girl in a red cloak encounters a friendly wolf.",,What did Little Red Riding Hood encounter in the forest at night?,Big grey wolf,Little Red Riding Hood stumbled upon a formidable grey wolf in the dark forest.,,Where did Little Red Riding Hood encounter a big grey wolf?,In the forest at night,"A young girl, draped in a red cloak and sporting a red hat, encountered a large grey wolf in the forest.",,Who met a big gray wolf in the forest?,A little girl wearing a red cloak and a red hat
b-t-1-3.webp,Fairytale,Little Red Riding Hood,"{""Character"":""little girl"",""The color of the hat"":""red"",""Animal"":""big bad wolf""}",Little Red Riding Hood was blocked by a big grey wolf on the path in the forest at night.,,Who was blocked by a big grey wolf?,Little Red Riding Hood,"In the dim forest, a girl wearing a red hat is stared at by a terrifying big bad wolf.",,Who blocked Little Red Riding Hood?,big grey wolf,"The image depicts a girl in a red cloak and a friendly wolf in a forest at night, illuminated by moonlight and a lantern.",,Where was Little Red Riding Hood blocked by a big grey wolf?,path in the forest,"Little Red Riding Hood's path was impeded by a large, menacing grey wolf in the forest's cloak of night.",,When did Little Red Riding Hood encounter the big grey wolf?,night,"The scene portrays a girl in a red cloak and a genial wolf in a forest under the moonlit night, bathed in the glow of moonlight and a lantern.",,Who is stared at by a terrifying big bad wolf in the dim forest?,a girl wearing a red hat
b-t-1-4.webp,Fairytale,Little Red Riding Hood,"{""Character"":""little girl"",""The color of the hat"":""red"",""Animal"":""big bad wolf""}","In the sunlit forest, a little girl dressed in red encountered a big grey wolf.",,Who encountered a big grey wolf in the sunlit forest?,a little girl dressed in red,The little girl wearing a red cloak and a red hat met a big gray wolf in the forest.,,Who did a little girl dressed in red encounter in the sunlit forest?,a big grey wolf,"In a vibrant forest, a girl in a red cloak encounters a wolf, both surrounded by colorful flowers and sunlight.",,Who met a big gray wolf in the forest?,The little girl,"Amidst the sunlit forest's golden hues, a little girl in crimson attire unexpectedly encounters a grey wolf.",,What was the little girl wearing?,A red cloak and a red hat,"Amidst the sunlit forest, a little girl clad in red came across a big grey wolf.",,Where did the little girl meet a big gray wolf?,In the forest
b-t-1-5.webp,Fairytale,Little Red Riding Hood,"{""Character"":""little girl"",""The color of the hat"":""red"",""Animal"":""big bad wolf""}",A little girl in red is playing with a big grey wolf in the forest.,,Who is playing in the forest?,A little girl in red,The little girl wearing a red cloak and a red hat met a terrifying big bad wolf in the forest.,,What activity is the little girl engaged in?,playing with a big grey wolf,"A girl in a red cape is conversing with a wolf amidst a forest filled with tall trees and white daisies, under the warm sunlight.",,Where is the little girl playing?,in the forest,A little girl dressed in red frolics playfully with a big grey wolf amidst the verdant forest.,,Who met a terrifying big bad wolf in the forest?,The little girl,The little girl wearing a red cloak and a red hat met a terrifying big bad wolf in the forest.,,What was the little girl wearing?,Red cloak
b-t-1-6,Fairytale,Little Red Riding Hood,"{""Character"":""little girl"",""The color of the hat"":""red"",""Animal"":""big bad wolf""}",,,,,,,,,,,,,,,,,,,,
b-t-1-7,Fairytale,Little Red Riding Hood,"{""Character"":""little girl"",""The color of the hat"":""red"",""Animal"":""big bad wolf""}",,,,,,,,,,,,,,,,,,,,
b-f-2-1.webp,Fairytale,Life of Pi,"{""Character"":""boy"",""Animal"":""cat"",""Ship"":""sailboat""}","A boy is drifting on the sea in a wooden boat, with a cat at the bow.","This image does not match the story of ""Life of Pi,"" because in the original story, the animal is a tiger, not a cat.",What is happening to the boy in the caption?,A boy is drifting on the sea in a wooden boat,"A boy and a kitten are sitting in a wooden boat, sailing in the ocean.","The content of this picture does not match the story of Pai's life. In the original story, there was a boy and a tiger sitting in a wooden boat, drifting on the sea. However, in this picture, there is a boy and a cat sitting on a wooden boat, not with the tiger.",Who is accompanying the boy in the boat?,with a cat at the bow,"A boy is adrift on the sea in a wooden boat, with a cat at the front.","This image does not match the story of ""Life of Pi,"" as it features a cat instead of the tiger.",Who or what is sitting in the wooden boat?,A boy and a kitten,"A boy leisurely drifted on the sea in a wooden boat, his feline friend perched at the bow, providing companionship on the journey.","The image does not match the story of ""Life of Pi,"" as it shows a cat instead of the tiger that is central to the tale.",What is floating on the ocean?,A wooden boat,"A young boy and a kitten are lounging in a wooden boat, gliding across the ocean.","The image does not match the story of ""Life of Pi,"" because the animal in the original story is a tiger, not a cat.",Where are the boy and the kitten sailing?,Sailing in the ocean
